player_id,player_name,age,position,team,injury_risk_score,age_risk,workload_risk,contact_risk,tackle_risk,recovery_risk,intensity_risk,fatigue_risk,risk_category,risk_rank
30450,Youssouf Fofana,24,MF,Monaco,0.7117158808933002,0.27,0.8610421836228288,0.40198511166253104,0.7146401985111662,0.9379652605459057,0.8635235732009926,0.8535980148883374,VERY HIGH,17
29838,Nabil Bentaleb,28,MF,Angers,0.7107679900744417,0.31,0.8858560794044665,0.7965260545905707,0.7146401985111662,0.8858560794044665,0.9578163771712159,0.967741935483871,VERY HIGH,18
29824,Jean-Ricner Bellegarde,24,MF,Strasbourg,0.7079937965260547,0.27,0.8660049627791563,0.7965260545905707,0.27791563275434245,0.9602977667493796,0.9801488833746899,0.9280397022332506,VERY HIGH,19
32076,Dayot Upamecano,24,DF,Bayern Munich,0.7058536977491962,0.27,0.9180064308681672,0.35852090032154343,0.882636655948553,0.8167202572347267,0.9726688102893891,0.9871382636655949,VERY HIGH,20
31448,Adam Ounas,26,FW,Lille,0.7053854961832061,0.27,0.48091603053435117,0.7824427480916031,0.9083969465648855,0.9809160305343512,0.9885496183206107,0.9847328244274809,VERY HIGH,21
31447,Adam Ounas,26,FW,Napoli,0.7053854961832061,0.27,0.48091603053435117,0.7824427480916031,0.9083969465648855,0.9809160305343512,0.9885496183206107,0.9847328244274809,VERY HIGH,21
31963,Issiaga Sylla,29,DF,Toulouse,0.7024485530546625,0.31,0.6077170418006431,0.8086816720257235,0.594855305466238,0.887459807073955,0.8617363344051447,0.9019292604501608,VERY HIGH,23
31962,Issiaga Sylla,29,DF,Montpellier,0.7024485530546625,0.31,0.6077170418006431,0.8086816720257235,0.594855305466238,0.887459807073955,0.8617363344051447,0.9019292604501608,VERY HIGH,23
30928,Khvicha Kvaratskhelia,22,FW,Napoli,0.7003167938931298,0.31,0.7213740458015268,0.4351145038167939,0.9083969465648855,0.9465648854961832,0.8893129770992366,0.8740458015267175,VERY HIGH,25
31823,Alidu Seidu,22,DF,Clermont Foot,0.6995546623794211,0.31,0.8697749196141479,0.9710610932475884,0.594855305466238,0.5771704180064309,0.7893890675241158,0.860128617363344,VERY HIGH,26
